job_title,job_id,date_posted,state_province,area_of_work,min_salary,max_salary,position_type,required_education,preferred_education,preferred_technical_experience
"Senior Software Engineer, Product Engineering (Boundary) - HashiCorp",76074,03-Feb-2026,"Texas, Massachusetts, California",Software Engineering,"131,000.00","226,000.00",Professional,High School Diploma/GED,Bachelor's Degree,* Nice to have experience using Vault or Boundary
Senior Software Development Engineer,76386,04-Dec-2025,"Texas, North Carolina, Washington, Massachusetts, California",Software Engineering,"131,000.00","226,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"Passionate and driven to design and implement scalable, programmatic solutions to complex problem 
Ability to handle multiple competing priorities in a fast-paced environment 
Technical leadership experience in building and delivering complex software systems 
Experience in working with customers, product management, and senior management to deliver value to the market 
Robust knowledge of data structures, algorithms, enterprise systems, asynchronous architectures, and object-oriented programming 
Proven experience with best SDLC practices: coding standards, reviews, code management, build processes, and testing 
Experience building large applications at scale using modern best practices"
Senior Managing Consultant SAP Data Migration Lead,81222,09-Jan-2026,"Georgia, Illinois, Ohio, Texas, California, New Jersey",Consulting,"147,000.00","254,000.00",Professional,Bachelor's Degree,Bachelor's Degree,"* Experience working with SAP FI/CO, MM, SD or PM and Master Data, required.
* 3 years of experience in Master data management with expertise in implementing SAP Master Data Governance (MDG).
* Experience in complex SAP environments support."
Oracle Cloud Projects & Grants Lead (Public Sector/K12),80576,15-Dec-2025,California,Consulting,"116,000.00","200,000.00",Professional,Bachelor's Degree,,
SAP Advanced Variant Configuration (AVC) Lead,80922,21-Jan-2026,"Colorado, California",Consulting,"116,000.00","200,000.00",Professional,Bachelor's Degree,Bachelor's Degree,
Technical Product Manager,86252,28-Jan-2026,Texas,Product Management,"158,000.00","272,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"Deep Domain Knowledge: Experience with analyzing market trends, user problems, and market dynamics to inform business strategies and identify opportunities. 
Technical Asset Creation: Exposure to designing and delivering technical assets that effectively demonstrate user experience and offering value propositions.
Product Portfolio Understanding: Experience with translating market needs into development plans based on a thorough understanding of product portfolio capabilities.
Technical Skills -Must have understanding of Cloud Native Application built on kubernetes. -Awareness Openshit and redhat products is plus. -Awareness of IBM Data and AI Portfolio would plus. -Awareness Sovereign cloud programs, & regulated AI platforms would be plus."
Territory Sales Specialist - Select,88232,26-Jan-2026,Texas,Sales,"96,000.00","172,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"• Advanced Digital Selling Tools: Exposure to utilizing advanced digital selling tools to identify and progress sales opportunities, with an understanding of how to leverage technology to drive sales growth and optimize sales performance.
• Industry-Specific Knowledge: Experience working with industry-specific solutions, with the ability to maintain up-to-date knowledge of industry trends and effectively communicate their value to clients.
• Complex Solution Selling: Exposure to understanding complex client business needs and aligning solution offerings to meet those needs, with the ability to act as a trusted advisor and drive revenue growth."
"Application Consultant Intern 2026 – IBM, RedHat & Microsoft",86994,16-Jan-2026,"Georgia, Illinois, Texas",Consulting,"53,400.00","97,900.00",Internship,High School Diploma/GED,Bachelor's Degree,"* Majors: Computer Science, MIS/IT, Computer Engineering, Data Science, SW Engineering, or related fields
* Can understand clients' needs and challenges, applying a creative and logical approach to identify solutions
* Demonstrate foundational quantitative analysis skills and ability to develop data driven recommendations
* Exposure to one of the following programming technologies (e.g., JavaScript, HTML, XML, SQL) is a plus
* Experience: Cloud native projects (academic, personal, or internship count);  Agile ways of working (ambiguous requirements, evolving scope); Programming (read, debug, and explain code)
* Skills/Tech: Programming fundamentals (.NET/ASP.NET, C#, Java, Python, or JavaScript/TypeScript.); SQL Basics; networking basics, Terraform/CloudFormation, Linux fundamentals
* A passion for innovative ideas, coupled with the ability to understand and assimilate different points of view.
* Drive to overcome the most challenging or difficult obstacles and look for ways to improve results.
* Ability to handle multiple tasks concurrently and meet deadlines, while maintaining focus in an environment with conflicting demands.
* Familiarity with Microservices architect and cloud platforms (Azure, AWS)
* Passionate about use of AI technology for business advancement; and enjoys experiential learning
* Ability to think laterally and consider multiple solution options for a given problem
* Operational & consulting mindset (translate technical work to business impact); Communication (ability to clearly communicate technical concepts - verbal and written); Professional readiness (comfort in client-facing environments)
* Highly motivated, with clear evidence of drive and significant achievements.
* Technical understanding of modern software development patterns
* Flexibility to work across architecture – building both front-end and backend
* Exposure to cloud and AI concepts such as Azure services, data platforms, security, and AI models through coursework, labs, internships, or personal projects, with a willingness to keep learning.
* Experience using tools like Copilot, ChatGPT, or similar AI assistants to research, write, analyze, and improve productivity, while applying critical thinking and validation."
Staff Software Engineer - HashiCorp Secure Runtime,87906,27-Jan-2026,"Texas, Massachusetts, California",Software Engineering,"189,000.00","324,000.00",Professional,None,Bachelor's Degree,"You have experience using HashiCorp secure products (Vault, Radar, Boundary). 
You are familiar with domain driven design (DDD). 
You eagerly take on new challenges and are driven to deliver the highest quality solution. 
You pursue continuous self-improvement and a passion for mentoring others. 
You’ve reviewed our principles and they resonate with your professional values."
Adobe Workfront Architect,87897,29-Jan-2026,"South Carolina, Georgia, Florida, Minnesota, Illinois, Ohio, Texas, New York, North Carolina, Idaho, Virginia, Alabama, Arkansas, Colorado, Michigan, Pennsylvania, Arizona, Washington, Massachusetts, Delaware, Louisiana, Wisconsin, California, New Jersey, Connecticut, West Virginia, District of Columbia",Software Engineering,"144,000.00","248,000.00",Professional,Bachelor's Degree,Bachelor's Degree,"Adobe Workfront Architect, Workfront Core Developer, or Fusion Developer certifications.
Experience with Adobe Experience Cloud (AEM, Journey Optimizer, Marketo, Analytics, Target).
Familiarity with Agile methodologies, SAFe, or IBM Garage best practices.
Background in Computer Science, Information Systems, Engineering, or a related field (or equivalent experience)."
